date,household_id,household_size,water_liters,day,month,day_of_week,is_weekend
2023-02-17,H001,5,257.78,17,2,4,0
2023-02-18,H001,5,264.5,18,2,5,1
2023-02-19,H001,5,291.46,19,2,6,1
2023-02-20,H001,5,247.14,20,2,0,0
2023-02-21,H001,5,251.27,21,2,1,0
2023-02-22,H001,5,257.06,22,2,2,0
2023-02-23,H001,5,254.44,23,2,3,0
2023-02-24,H001,5,239.14,24,2,4,0
2023-02-25,H001,5,274.3,25,2,5,1
2023-02-26,H001,5,295.18,26,2,6,1
2023-02-27,H001,5,266.47,27,2,0,0
2023-02-28,H001,5,266.85,28,2,1,0
2023-03-01,H001,5,260.69,1,3,2,0
2023-03-02,H001,5,266.68,2,3,3,0
2023-03-03,H001,5,261.76,3,3,4,0
2023-03-04,H001,5,282.87,4,3,5,1
2023-03-05,H001,5,298.99,5,3,6,1
2023-03-06,H001,5,256.27,6,3,0,0
2023-03-07,H001,5,250.09,7,3,1,0
2023-03-08,H001,5,273.98,8,3,2,0
2023-03-09,H001,5,274.34,9,3,3,0
2023-03-10,H001,5,240.75,10,3,4,0
2023-03-11,H001,5,293.36,11,3,5,1
2023-03-12,H001,5,261.27,12,3,6,1
2023-03-13,H001,5,272.74,13,3,0,0
2023-03-14,H001,5,248.79,14,3,1,0
2023-03-15,H001,5,269.48,15,3,2,0
2023-03-16,H001,5,252.77,16,3,3,0
2023-03-17,H001,5,264.21,17,3,4,0
2023-03-18,H001,5,269.74,18,3,5,1
2023-03-19,H001,5,283.0,19,3,6,1
2023-03-20,H001,5,259.68,20,3,0,0
2023-03-21,H001,5,271.98,21,3,1,0
2023-03-22,H001,5,282.03,22,3,2,0
2023-03-23,H001,5,267.51,23,3,3,0
2023-03-24,H001,5,264.15,24,3,4,0
2023-03-25,H001,5,274.33,25,3,5,1
2023-03-26,H001,5,269.68,26,3,6,1
2023-03-27,H001,5,262.95,27,3,0,0
2023-03-28,H001,5,262.32,28,3,1,0
2023-03-29,H001,5,268.0,29,3,2,0
2023-03-30,H001,5,269.18,30,3,3,0
2023-03-31,H001,5,265.06,31,3,4,0
2023-04-01,H001,5,269.2,1,4,5,1
2023-04-02,H001,5,297.51,2,4,6,1
2023-04-03,H001,5,259.46,3,4,0,0
2023-04-04,H001,5,249.25,4,4,1,0
2023-04-05,H001,5,255.72,5,4,2,0
2023-04-06,H001,5,243.89,6,4,3,0
2023-04-07,H001,5,256.53,7,4,4,0
2023-04-08,H001,5,295.7,8,4,5,1
2023-04-09,H001,5,282.72,9,4,6,1
2023-04-10,H001,5,250.22,10,4,0,0
2023-04-11,H001,5,257.42,11,4,1,0
2023-04-12,H001,5,266.0,12,4,2,0
2023-04-13,H001,5,244.23,13,4,3,0
2023-04-14,H001,5,248.14,14,4,4,0
2023-04-15,H001,5,287.86,15,4,5,1
2023-04-16,H001,5,271.28,16,4,6,1
2023-04-17,H001,5,283.52,17,4,0,0
2023-04-18,H001,5,258.27,18,4,1,0
2023-04-19,H001,5,249.15,19,4,2,0
2023-04-20,H001,5,250.14,20,4,3,0
2023-04-21,H001,5,254.07,21,4,4,0
2023-04-22,H001,5,278.92,22,4,5,1
2023-04-23,H001,5,260.56,23,4,6,1
2023-04-24,H001,5,274.75,24,4,0,0
2023-04-25,H001,5,259.3,25,4,1,0
2023-04-26,H001,5,259.06,26,4,2,0
2023-04-27,H001,5,269.09,27,4,3,0
2023-04-28,H001,5,246.51,28,4,4,0
2023-04-29,H001,5,275.85,29,4,5,1
2023-04-30,H001,5,290.31,30,4,6,1
2023-05-01,H001,5,296.85,1,5,0,0
2023-05-02,H001,5,301.61,2,5,1,0
2023-05-03,H001,5,296.36,3,5,2,0
2023-05-04,H001,5,294.27,4,5,3,0
2023-05-05,H001,5,314.2,5,5,4,0
2023-05-06,H001,5,339.31,6,5,5,1
2023-05-07,H001,5,296.35,7,5,6,1
2023-05-08,H001,5,314.26,8,5,0,0
2023-05-09,H001,5,322.22,9,5,1,0
2023-05-10,H001,5,310.91,10,5,2,0
2023-05-11,H001,5,293.37,11,5,3,0
2023-05-12,H001,5,287.49,12,5,4,0
2023-05-13,H001,5,333.85,13,5,5,1
2023-05-14,H001,5,317.47,14,5,6,1
2023-05-15,H001,5,299.44,15,5,0,0
2023-05-16,H001,5,294.69,16,5,1,0
2023-05-17,H001,5,309.36,17,5,2,0
2023-05-18,H001,5,289.86,18,5,3,0
2023-05-19,H001,5,289.0,19,5,4,0
2023-05-20,H001,5,328.05,20,5,5,1
2023-05-21,H001,5,346.47,21,5,6,1
2023-05-22,H001,5,294.62,22,5,0,0
2023-05-23,H001,5,288.42,23,5,1,0
2023-05-24,H001,5,303.48,24,5,2,0
2023-05-25,H001,5,301.57,25,5,3,0
2023-05-26,H001,5,281.29,26,5,4,0
2023-05-27,H001,5,315.28,27,5,5,1
2023-05-28,H001,5,334.6,28,5,6,1
2023-05-29,H001,5,297.11,29,5,0,0
2023-05-30,H001,5,262.09,30,5,1,0
2023-05-31,H001,5,297.25,31,5,2,0
2023-06-01,H001,5,302.33,1,6,3,0
2023-06-02,H001,5,280.91,2,6,4,0
2023-06-03,H001,5,327.89,3,6,5,1
2023-06-04,H001,5,341.94,4,6,6,1
2023-06-05,H001,5,294.92,5,6,0,0
2023-06-06,H001,5,282.39,6,6,1,0
2023-06-07,H001,5,283.36,7,6,2,0
2023-06-08,H001,5,289.51,8,6,3,0
2023-06-09,H001,5,293.61,9,6,4,0
2023-06-10,H001,5,318.44,10,6,5,1
2023-06-11,H001,5,323.4,11,6,6,1
2023-06-12,H001,5,286.48,12,6,0,0
2023-06-13,H001,5,290.13,13,6,1,0
2023-06-14,H001,5,299.26,14,6,2,0
2023-06-15,H001,5,274.62,15,6,3,0
2023-06-16,H001,5,288.41,16,6,4,0
2023-06-17,H001,5,316.77,17,6,5,1
2023-06-18,H001,5,326.23,18,6,6,1
2023-06-19,H001,5,283.52,19,6,0,0
2023-06-20,H001,5,293.79,20,6,1,0
2023-06-21,H001,5,298.89,21,6,2,0
2023-06-22,H001,5,263.17,22,6,3,0
2023-06-23,H001,5,299.09,23,6,4,0
2023-06-24,H001,5,301.43,24,6,5,1
2023-06-25,H001,5,299.8,25,6,6,1
2023-06-26,H001,5,249.63,26,6,0,0
2023-06-27,H001,5,274.25,27,6,1,0
2023-06-28,H001,5,283.53,28,6,2,0
2023-06-29,H001,5,278.69,29,6,3,0
2023-06-30,H001,5,277.45,30,6,4,0
2023-07-01,H001,5,297.62,1,7,5,1
2023-07-02,H001,5,321.05,2,7,6,1
2023-07-03,H001,5,293.6,3,7,0,0
2023-07-04,H001,5,286.82,4,7,1,0
2023-07-05,H001,5,258.87,5,7,2,0
2023-07-06,H001,5,308.49,6,7,3,0
2023-07-07,H001,5,282.68,7,7,4,0
2023-07-08,H001,5,315.16,8,7,5,1
2023-07-09,H001,5,290.38,9,7,6,1
2023-07-10,H001,5,279.89,10,7,0,0
2023-07-11,H001,5,284.7,11,7,1,0
2023-07-12,H001,5,277.75,12,7,2,0
2023-07-13,H001,5,289.62,13,7,3,0
2023-07-14,H001,5,294.46,14,7,4,0
2023-07-15,H001,5,290.3,15,7,5,1
2023-07-16,H001,5,316.31,16,7,6,1
2023-07-17,H001,5,282.72,17,7,0,0
2023-07-18,H001,5,277.65,18,7,1,0
2023-07-19,H001,5,258.57,19,7,2,0
2023-07-20,H001,5,294.9,20,7,3,0
2023-07-21,H001,5,281.62,21,7,4,0
2023-07-22,H001,5,282.83,22,7,5,1
2023-07-23,H001,5,301.01,23,7,6,1
2023-07-24,H001,5,279.95,24,7,0,0
2023-07-25,H001,5,281.82,25,7,1,0
2023-07-26,H001,5,273.94,26,7,2,0
2023-07-27,H001,5,279.3,27,7,3,0
2023-07-28,H001,5,300.36,28,7,4,0
2023-07-29,H001,5,320.69,29,7,5,1
2023-07-30,H001,5,290.45,30,7,6,1
2023-07-31,H001,5,266.98,31,7,0,0
2023-08-01,H001,5,272.55,1,8,1,0
2023-08-02,H001,5,252.64,2,8,2,0
2023-08-03,H001,5,257.28,3,8,3,0
2023-08-04,H001,5,253.66,4,8,4,0
2023-08-05,H001,5,286.39,5,8,5,1
2023-08-06,H001,5,316.57,6,8,6,1
2023-08-07,H001,5,262.13,7,8,0,0
2023-08-08,H001,5,259.82,8,8,1,0
2023-08-09,H001,5,282.51,9,8,2,0
2023-08-10,H001,5,266.29,10,8,3,0
2023-08-11,H001,5,276.47,11,8,4,0
2023-08-12,H001,5,289.61,12,8,5,1
2023-08-13,H001,5,276.48,13,8,6,1
2023-08-14,H001,5,276.39,14,8,0,0
2023-08-15,H001,5,251.95,15,8,1,0
2023-08-16,H001,5,264.23,16,8,2,0
2023-08-17,H001,5,261.35,17,8,3,0
2023-08-18,H001,5,272.28,18,8,4,0
2023-08-19,H001,5,290.04,19,8,5,1
2023-08-20,H001,5,294.96,20,8,6,1
2023-08-21,H001,5,250.62,21,8,0,0
2023-08-22,H001,5,293.16,22,8,1,0
2023-08-23,H001,5,254.57,23,8,2,0
2023-08-24,H001,5,283.2,24,8,3,0
2023-08-25,H001,5,270.41,25,8,4,0
2023-08-26,H001,5,296.97,26,8,5,1
2023-08-27,H001,5,299.34,27,8,6,1
2023-08-28,H001,5,245.53,28,8,0,0
2023-08-29,H001,5,279.53,29,8,1,0
2023-08-30,H001,5,261.65,30,8,2,0
2023-08-31,H001,5,282.15,31,8,3,0
2023-09-01,H001,5,265.67,1,9,4,0
2023-09-02,H001,5,289.58,2,9,5,1
2023-09-03,H001,5,278.42,3,9,6,1
2023-09-04,H001,5,257.88,4,9,0,0
2023-09-05,H001,5,272.0,5,9,1,0
2023-09-06,H001,5,251.11,6,9,2,0
2023-09-07,H001,5,242.8,7,9,3,0
2023-09-08,H001,5,256.28,8,9,4,0
2023-09-09,H001,5,303.19,9,9,5,1
2023-09-10,H001,5,314.36,10,9,6,1
2023-09-11,H001,5,258.12,11,9,0,0
2023-09-12,H001,5,247.57,12,9,1,0
2023-09-13,H001,5,261.95,13,9,2,0
2023-09-14,H001,5,268.18,14,9,3,0
2023-09-15,H001,5,272.83,15,9,4,0
2023-09-16,H001,5,318.01,16,9,5,1
2023-09-17,H001,5,295.04,17,9,6,1
2023-09-18,H001,5,285.54,18,9,0,0
2023-09-19,H001,5,260.06,19,9,1,0
2023-09-20,H001,5,266.6,20,9,2,0
2023-09-21,H001,5,258.39,21,9,3,0
2023-09-22,H001,5,257.3,22,9,4,0
2023-09-23,H001,5,288.8,23,9,5,1
2023-09-24,H001,5,288.55,24,9,6,1
2023-09-25,H001,5,258.1,25,9,0,0
2023-09-26,H001,5,258.73,26,9,1,0
2023-09-27,H001,5,278.46,27,9,2,0
2023-09-28,H001,5,290.64,28,9,3,0
2023-09-29,H001,5,259.29,29,9,4,0
2023-09-30,H001,5,287.9,30,9,5,1
2023-10-01,H001,5,260.02,1,10,6,1
2023-10-02,H001,5,268.91,2,10,0,0
2023-10-03,H001,5,231.68,3,10,1,0
2023-10-04,H001,5,242.36,4,10,2,0
2023-10-05,H001,5,249.24,5,10,3,0
2023-10-06,H001,5,234.85,6,10,4,0
2023-10-07,H001,5,264.94,7,10,5,1
2023-10-08,H001,5,261.15,8,10,6,1
2023-10-09,H001,5,243.2,9,10,0,0
2023-10-10,H001,5,218.44,10,10,1,0
2023-10-11,H001,5,233.35,11,10,2,0
2023-10-12,H001,5,236.72,12,10,3,0
2023-10-13,H001,5,236.6,13,10,4,0
2023-10-14,H001,5,267.8,14,10,5,1
2023-10-15,H001,5,259.59,15,10,6,1
2023-10-16,H001,5,217.44,16,10,0,0
2023-10-17,H001,5,238.34,17,10,1,0
2023-10-18,H001,5,220.72,18,10,2,0
2023-10-19,H001,5,223.01,19,10,3,0
2023-10-20,H001,5,226.46,20,10,4,0
2023-10-21,H001,5,253.39,21,10,5,1
2023-10-22,H001,5,236.3,22,10,6,1
2023-10-23,H001,5,245.15,23,10,0,0
2023-10-24,H001,5,217.98,24,10,1,0
2023-10-25,H001,5,250.79,25,10,2,0
2023-10-26,H001,5,218.56,26,10,3,0
2023-10-27,H001,5,247.55,27,10,4,0
2023-10-28,H001,5,255.17,28,10,5,1
2023-10-29,H001,5,235.05,29,10,6,1
2023-10-30,H001,5,220.01,30,10,0,0
2023-10-31,H001,5,248.57,31,10,1,0
2023-11-01,H001,5,238.17,1,11,2,0
2023-11-02,H001,5,231.98,2,11,3,0
2023-11-03,H001,5,206.46,3,11,4,0
2023-11-04,H001,5,273.2,4,11,5,1
2023-11-05,H001,5,279.13,5,11,6,1
2023-11-06,H001,5,253.75,6,11,0,0
2023-11-07,H001,5,226.27,7,11,1,0
2023-11-08,H001,5,238.4,8,11,2,0
2023-11-09,H001,5,239.87,9,11,3,0
2023-11-10,H001,5,215.8,10,11,4,0
2023-11-11,H001,5,259.89,11,11,5,1
2023-11-12,H001,5,270.77,12,11,6,1
2023-11-13,H001,5,243.81,13,11,0,0
2023-11-14,H001,5,221.48,14,11,1,0
2023-11-15,H001,5,224.65,15,11,2,0
2023-11-16,H001,5,244.67,16,11,3,0
2023-11-17,H001,5,242.96,17,11,4,0
2023-11-18,H001,5,232.06,18,11,5,1
2023-11-19,H001,5,229.85,19,11,6,1
2023-11-20,H001,5,235.03,20,11,0,0
2023-11-21,H001,5,229.07,21,11,1,0
2023-11-22,H001,5,232.76,22,11,2,0
2023-11-23,H001,5,231.61,23,11,3,0
2023-11-24,H001,5,248.56,24,11,4,0
2023-11-25,H001,5,261.9,25,11,5,1
2023-11-26,H001,5,264.11,26,11,6,1
2023-11-27,H001,5,221.28,27,11,0,0
2023-11-28,H001,5,197.24,28,11,1,0
2023-11-29,H001,5,251.31,29,11,2,0
2023-11-30,H001,5,263.77,30,11,3,0
2023-12-01,H001,5,234.16,1,12,4,0
2023-12-02,H001,5,265.34,2,12,5,1
2023-12-03,H001,5,266.49,3,12,6,1
2023-12-04,H001,5,259.06,4,12,0,0
2023-12-05,H001,5,249.86,5,12,1,0
2023-12-06,H001,5,245.38,6,12,2,0
2023-12-07,H001,5,240.33,7,12,3,0
2023-12-08,H001,5,240.62,8,12,4,0
2023-12-09,H001,5,246.88,9,12,5,1
2023-12-10,H001,5,259.81,10,12,6,1
2023-12-11,H001,5,251.26,11,12,0,0
2023-12-12,H001,5,238.06,12,12,1,0
2023-12-13,H001,5,241.64,13,12,2,0
2023-12-14,H001,5,227.25,14,12,3,0
2023-12-15,H001,5,246.95,15,12,4,0
2023-12-16,H001,5,248.5,16,12,5,1
2023-12-17,H001,5,269.8,17,12,6,1
2023-12-18,H001,5,240.11,18,12,0,0
2023-12-19,H001,5,221.69,19,12,1,0
2023-12-20,H001,5,255.7,20,12,2,0
2023-12-21,H001,5,241.15,21,12,3,0
2023-12-22,H001,5,265.71,22,12,4,0
2023-12-23,H001,5,285.73,23,12,5,1
2023-12-24,H001,5,257.72,24,12,6,1
2023-12-25,H001,5,234.64,25,12,0,0
2023-12-26,H001,5,230.34,26,12,1,0
2023-12-27,H001,5,225.62,27,12,2,0
2023-12-28,H001,5,239.85,28,12,3,0
2023-12-29,H001,5,262.5,29,12,4,0
2023-12-30,H001,5,247.0,30,12,5,1
2023-12-31,H001,5,280.49,31,12,6,1
2023-01-01,H002,1,93.07,1,1,6,1
2023-01-02,H002,1,69.94,2,1,0,0
2023-01-03,H002,1,59.57,3,1,1,0
2023-01-04,H002,1,66.63,4,1,2,0
2023-01-05,H002,1,76.44,5,1,3,0
2023-01-06,H002,1,46.4,6,1,4,0
2023-01-07,H002,1,98.82,7,1,5,1
2023-01-08,H002,1,62.55,8,1,6,1
2023-01-09,H002,1,84.93,9,1,0,0
2023-01-10,H002,1,75.92,10,1,1,0
2023-01-11,H002,1,81.54,11,1,2,0
2023-01-12,H002,1,72.64,12,1,3,0
2023-01-13,H002,1,81.1,13,1,4,0
2023-01-14,H002,1,80.88,14,1,5,1
2023-01-15,H002,1,80.08,15,1,6,1
2023-01-16,H002,1,68.28,16,1,0,0
2023-01-17,H002,1,97.54,17,1,1,0
2023-01-18,H002,1,83.82,18,1,2,0
2023-01-19,H002,1,82.11,19,1,3,0
2023-01-20,H002,1,69.27,20,1,4,0
2023-01-21,H002,1,85.13,21,1,5,1
2023-01-22,H002,1,76.3,22,1,6,1
2023-01-23,H002,1,74.41,23,1,0,0
2023-01-24,H002,1,65.97,24,1,1,0
2023-01-25,H002,1,99.73,25,1,2,0
2023-01-26,H002,1,71.75,26,1,3,0
2023-01-27,H002,1,70.5,27,1,4,0
2023-01-28,H002,1,73.38,28,1,5,1
2023-01-29,H002,1,80.22,29,1,6,1
2023-01-30,H002,1,75.57,30,1,0,0
2023-01-31,H002,1,81.08,31,1,1,0
2023-02-01,H002,1,74.09,1,2,2,0
2023-02-02,H002,1,62.79,2,2,3,0
2023-02-03,H002,1,63.98,3,2,4,0
2023-02-04,H002,1,98.7,4,2,5,1
2023-02-05,H002,1,89.25,5,2,6,1
2023-02-06,H002,1,90.41,6,2,0,0
2023-02-07,H002,1,92.14,7,2,1,0
2023-02-08,H002,1,84.74,8,2,2,0
2023-02-09,H002,1,68.3,9,2,3,0
2023-02-10,H002,1,85.5,10,2,4,0
2023-02-11,H002,1,108.5,11,2,5,1
2023-02-12,H002,1,86.49,12,2,6,1
2023-02-13,H002,1,87.74,13,2,0,0
2023-02-14,H002,1,83.62,14,2,1,0
2023-02-15,H002,1,100.39,15,2,2,0
2023-02-16,H002,1,75.92,16,2,3,0
2023-02-17,H002,1,98.03,17,2,4,0
2023-02-18,H002,1,88.24,18,2,5,1
2023-02-19,H002,1,84.55,19,2,6,1
2023-02-20,H002,1,85.88,20,2,0,0
2023-02-21,H002,1,88.79,21,2,1,0
2023-02-22,H002,1,107.74,22,2,2,0
2023-02-23,H002,1,88.75,23,2,3,0
2023-02-24,H002,1,87.35,24,2,4,0
2023-02-25,H002,1,112.81,25,2,5,1
2023-02-26,H002,1,100.98,26,2,6,1
2023-02-27,H002,1,77.62,27,2,0,0
2023-02-28,H002,1,101.73,28,2,1,0
2023-03-01,H002,1,76.68,1,3,2,0
2023-03-02,H002,1,77.86,2,3,3,0
2023-03-03,H002,1,75.56,3,3,4,0
2023-03-04,H002,1,83.18,4,3,5,1
2023-03-05,H002,1,98.51,5,3,6,1
2023-03-06,H002,1,82.91,6,3,0,0
2023-03-07,H002,1,44.35,7,3,1,0
2023-03-08,H002,1,82.95,8,3,2,0
2023-03-09,H002,1,80.03,9,3,3,0
2023-03-10,H002,1,97.03,10,3,4,0
2023-03-11,H002,1,88.26,11,3,5,1
2023-03-12,H002,1,125.57,12,3,6,1
2023-03-13,H002,1,103.28,13,3,0,0
2023-03-14,H002,1,81.9,14,3,1,0
2023-03-15,H002,1,100.43,15,3,2,0
2023-03-16,H002,1,92.99,16,3,3,0
2023-03-17,H002,1,89.54,17,3,4,0
2023-03-18,H002,1,105.1,18,3,5,1
2023-03-19,H002,1,96.16,19,3,6,1
2023-03-20,H002,1,89.76,20,3,0,0
2023-03-21,H002,1,96.79,21,3,1,0
2023-03-22,H002,1,111.58,22,3,2,0
2023-03-23,H002,1,89.99,23,3,3,0
2023-03-24,H002,1,81.56,24,3,4,0
2023-03-25,H002,1,71.38,25,3,5,1
2023-03-26,H002,1,119.3,26,3,6,1
2023-03-27,H002,1,83.91,27,3,0,0
2023-03-28,H002,1,93.51,28,3,1,0
2023-03-29,H002,1,109.97,29,3,2,0
2023-03-30,H002,1,89.84,30,3,3,0
2023-03-31,H002,1,84.78,31,3,4,0
2023-04-01,H002,1,112.87,1,4,5,1
2023-04-02,H002,1,101.36,2,4,6,1
2023-04-03,H002,1,94.15,3,4,0,0
2023-04-04,H002,1,68.83,4,4,1,0
2023-04-05,H002,1,101.57,5,4,2,0
2023-04-06,H002,1,91.59,6,4,3,0
2023-04-07,H002,1,70.6,7,4,4,0
2023-04-08,H002,1,101.57,8,4,5,1
2023-04-09,H002,1,70.97,9,4,6,1
2023-04-10,H002,1,115.1,10,4,0,0
2023-04-11,H002,1,73.74,11,4,1,0
2023-04-12,H002,1,106.27,12,4,2,0
2023-04-13,H002,1,77.14,13,4,3,0
2023-04-14,H002,1,93.57,14,4,4,0
2023-04-15,H002,1,84.54,15,4,5,1
2023-04-16,H002,1,107.4,16,4,6,1
2023-04-17,H002,1,83.89,17,4,0,0
2023-04-18,H002,1,92.27,18,4,1,0
2023-04-19,H002,1,86.79,19,4,2,0
2023-04-20,H002,1,70.16,20,4,3,0
2023-04-21,H002,1,92.53,21,4,4,0
2023-04-22,H002,1,89.02,22,4,5,1
2023-04-23,H002,1,107.53,23,4,6,1
2023-04-24,H002,1,83.45,24,4,0,0
2023-04-25,H002,1,85.28,25,4,1,0
2023-04-26,H002,1,106.32,26,4,2,0
2023-04-27,H002,1,114.63,27,4,3,0
2023-04-28,H002,1,95.4,28,4,4,0
2023-04-29,H002,1,91.02,29,4,5,1
2023-04-30,H002,1,89.87,30,4,6,1
2023-05-01,H002,1,88.73,1,5,0,0
2023-05-02,H002,1,90.94,2,5,1,0
2023-05-03,H002,1,95.05,3,5,2,0
2023-05-04,H002,1,121.78,4,5,3,0
2023-05-05,H002,1,95.73,5,5,4,0
2023-05-06,H002,1,93.06,6,5,5,1
2023-05-07,H002,1,108.13,7,5,6,1
2023-05-08,H002,1,99.86,8,5,0,0
2023-05-09,H002,1,98.02,9,5,1,0
2023-05-10,H002,1,107.05,10,5,2,0
2023-05-11,H002,1,98.14,11,5,3,0
2023-05-12,H002,1,106.4,12,5,4,0
2023-05-13,H002,1,97.37,13,5,5,1
2023-05-14,H002,1,127.94,14,5,6,1
2023-05-15,H002,1,99.77,15,5,0,0
2023-05-16,H002,1,101.39,16,5,1,0
2023-05-17,H002,1,87.02,17,5,2,0
2023-05-18,H002,1,101.94,18,5,3,0
2023-05-19,H002,1,103.93,19,5,4,0
2023-05-20,H002,1,91.51,20,5,5,1
2023-05-21,H002,1,85.46,21,5,6,1
2023-05-22,H002,1,99.15,22,5,0,0
2023-05-23,H002,1,89.59,23,5,1,0
2023-05-24,H002,1,98.4,24,5,2,0
2023-05-25,H002,1,79.62,25,5,3,0
2023-05-26,H002,1,76.21,26,5,4,0
2023-05-27,H002,1,106.71,27,5,5,1
2023-05-28,H002,1,99.83,28,5,6,1
2023-05-29,H002,1,69.06,29,5,0,0
2023-05-30,H002,1,110.32,30,5,1,0
2023-05-31,H002,1,78.33,31,5,2,0
2023-06-01,H002,1,124.71,1,6,3,0
2023-06-02,H002,1,86.15,2,6,4,0
2023-06-03,H002,1,107.61,3,6,5,1
2023-06-04,H002,1,122.34,4,6,6,1
2023-06-05,H002,1,110.81,5,6,0,0
2023-06-06,H002,1,116.69,6,6,1,0
2023-06-07,H002,1,74.38,7,6,2,0
2023-06-08,H002,1,78.83,8,6,3,0
2023-06-09,H002,1,94.97,9,6,4,0
2023-06-10,H002,1,111.33,10,6,5,1
2023-06-11,H002,1,100.89,11,6,6,1
2023-06-12,H002,1,71.98,12,6,0,0
2023-06-13,H002,1,97.39,13,6,1,0
2023-06-14,H002,1,88.89,14,6,2,0
2023-06-15,H002,1,88.54,15,6,3,0
2023-06-16,H002,1,63.46,16,6,4,0
2023-06-17,H002,1,109.22,17,6,5,1
2023-06-18,H002,1,101.15,18,6,6,1
2023-06-19,H002,1,111.7,19,6,0,0
2023-06-20,H002,1,89.05,20,6,1,0
2023-06-21,H002,1,96.53,21,6,2,0
2023-06-22,H002,1,99.5,22,6,3,0
2023-06-23,H002,1,68.34,23,6,4,0
2023-06-24,H002,1,129.39,24,6,5,1
2023-06-25,H002,1,92.58,25,6,6,1
2023-06-26,H002,1,94.58,26,6,0,0
2023-06-27,H002,1,96.11,27,6,1,0
2023-06-28,H002,1,78.43,28,6,2,0
2023-06-29,H002,1,110.15,29,6,3,0
2023-06-30,H002,1,90.96,30,6,4,0
2023-07-01,H002,1,93.74,1,7,5,1
2023-07-02,H002,1,97.72,2,7,6,1
2023-07-03,H002,1,96.28,3,7,0,0
2023-07-04,H002,1,87.02,4,7,1,0
2023-07-05,H002,1,97.25,5,7,2,0
2023-07-06,H002,1,66.23,6,7,3,0
2023-07-07,H002,1,77.26,7,7,4,0
2023-07-08,H002,1,68.95,8,7,5,1
2023-07-09,H002,1,118.34,9,7,6,1
2023-07-10,H002,1,109.39,10,7,0,0
2023-07-11,H002,1,92.88,11,7,1,0
2023-07-12,H002,1,73.0,12,7,2,0
2023-07-13,H002,1,113.61,13,7,3,0
2023-07-14,H002,1,77.46,14,7,4,0
2023-07-15,H002,1,90.4,15,7,5,1
2023-07-16,H002,1,94.63,16,7,6,1
2023-07-17,H002,1,89.5,17,7,0,0
2023-07-18,H002,1,91.59,18,7,1,0
2023-07-19,H002,1,91.86,19,7,2,0
2023-07-20,H002,1,81.71,20,7,3,0
2023-07-21,H002,1,91.26,21,7,4,0
2023-07-22,H002,1,89.07,22,7,5,1
2023-07-23,H002,1,98.06,23,7,6,1
2023-07-24,H002,1,88.59,24,7,0,0
2023-07-25,H002,1,91.58,25,7,1,0
2023-07-26,H002,1,89.88,26,7,2,0
2023-07-27,H002,1,76.71,27,7,3,0
2023-07-28,H002,1,87.33,28,7,4,0
2023-07-29,H002,1,97.63,29,7,5,1
2023-07-30,H002,1,74.08,30,7,6,1
2023-07-31,H002,1,77.95,31,7,0,0
2023-08-01,H002,1,88.35,1,8,1,0
2023-08-02,H002,1,101.37,2,8,2,0
2023-08-03,H002,1,90.57,3,8,3,0
